what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1474510700484
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1474510700501
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1474510700522
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1474510700900
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1474510701011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474510711880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474512268064
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474512268654
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1474512269738
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474512273838
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474512276627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474512279520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474512289797
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474512290657
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474512290765
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1474512291699
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474512291809
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474512294330
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474512298076
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474512298207
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1474512304066
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474512305517
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1474512308197
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1474512308785
started,bundle,org.testng.eclipse,6.9.12.201607091356,"org.testng.eclipse",1474512308823
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1474512311182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474512312255
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474512315397
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1474512316307
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1474512324497
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1474512324612
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1474512324616
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1474512324619
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1474512324783
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1474512324791
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1474512324799
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1474512324849
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1474512324863
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1474512324961
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1474512324967
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1474512325703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474512333160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474512342906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474512347915
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474512350727
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474512359582
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474512365544
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1474512366708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474512376337
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474512390083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474512403075
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474512407263
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1474512408073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474512417164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474512429527
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1474512443429
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1474512457566
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1474512464796
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1474512465720
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1474512465861
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1474512465907
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1474512466643
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1474512466802
opened,view,org.testng.eclipse,6.9.12.201607091356,"org.testng.eclipse.ResultView",1474512467639
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1474512470024
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1474512470134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474512475208
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474512477373
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474512481244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474512481244
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474512481937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474512482531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474512485863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474512505495
activated,view,org.testng.eclipse,6.9.12.201607091356,"org.testng.eclipse.ResultView",1474512505523
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1474512505881
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474512637020
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1474512640820
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474512642032
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474512946500
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1474512953988
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1474513060645
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474513063422
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474513067884
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1474513068024
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1474513068055
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1474513068180
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1474513068211
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1474513068243
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1474513068258
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1474513068258
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1474513068367
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1474513068367
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474513068492
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474513068586
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1474513069303
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474513069381
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474513071316
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1474513074171
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474513075481
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1474513076557
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474513136586
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1474513144199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474513154901
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474513155026
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474513158411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1474513158551
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1474513186881
